日時,銘柄,売買,数量,約定単価,金額(円),実現損益(円),理由
2026-08-20 09:01:18,BTC-JPY,買,0.01966874,10973350.39,216156,,弱気/ドンチャン55/20
2026-08-20 09:01:18,ETH-JPY,買,0.51467232,356669.66,183844,,弱気/ドンチャン55/20
2026-08-21 09:31:04,BTC-JPY,買,0.00210399,11754118.38,24768,,強気/分散保有
2026-08-21 09:31:04,ETH-JPY,買,0.17056323,373317.07,63770,,強気/分散保有
2026-08-21 09:31:04,XRP-JPY,買,1263.77695235,202.05,255725,,強気/分散保有
2026-08-21 09:31:04,SOL-JPY,買,18.12260189,14089.69,255725,,強気/分散保有
2026-08-22 10:51:26,XRP-JPY,売,96.29854474,238.69,22951,3465,強気/分散保有
2026-08-23 00:57:58,XRP-JPY,売,1167.47840761,228.10,265907,29668,強気/分散保有
2026-08-28 01:31:01,SOL-JPY,売,1.34705411,17207.39,23145,4136,強気/分散保有
2026-09-01 09:31:01,XRP-JPY,買,1277.81109363,221.55,283526,,強気/分散保有
2026-09-02 09:01:14,BTC-JPY,買,0.00229181,12411479.08,28487,,強気/分散保有
2026-09-02 09:31:00,SOL-JPY,売,16.77554778,15988.11,267807,31090,強気/分散保有
2026-09-02 09:31:00,BTC-JPY,買,0.00276227,12390422.04,34277,,強気/分散保有
2026-09-02 09:31:00,ETH-JPY,買,0.17251437,387401.17,66933,,強気/分散保有
2026-09-02 09:31:00,XRP-JPY,買,257.41325781,216.44,55797,,強気/分散保有
2026-09-03 09:17:49,BTC-JPY,売,0.00451074,12250836.90,55177,4114,強気/分散保有
2026-09-03 09:17:49,ETH-JPY,売,0.13668775,379149.69,51747,1622,強気/分散保有
2026-09-03 09:17:49,XRP-JPY,売,259.51727590,214.31,55532,-1827,強気/分散保有
2026-09-03 09:17:49,SOL-JPY,買,17.13305143,15925.21,273257,,強気/分散保有
