日時,実運用レジーム,シャドー(ボラ閾値0.75),一致
2026-08-07 09:01:18,弱気,弱気,○
2026-08-08 09:31:05,弱気,弱気,○
2026-08-09 09:31:02,弱気,弱気,○
2026-08-10 09:01:27,弱気,弱気,○
2026-08-11 09:01:20,弱気,弱気,○
2026-08-12 09:31:03,弱気,弱気,○
2026-08-13 09:31:02,弱気,弱気,○
2026-08-14 09:31:06,弱気,弱気,○
2026-08-15 09:01:28,弱気,弱気,○
2026-08-16 09:01:19,弱気,弱気,○
2026-08-17 09:31:01,弱気,弱気,○
2026-08-18 09:01:20,弱気,弱気,○
2026-08-19 09:31:07,弱気,弱気,○
2026-08-20 09:01:20,弱気,弱気,○
2026-08-21 09:31:06,強気,強気,○
2026-08-22 09:01:19,強気,強気,○
2026-08-23 09:31:04,強気,強気,○
2026-08-24 09:01:23,強気,強気,○
2026-08-25 09:01:24,強気,強気,○
2026-08-26 09:31:09,強気,強気,○
2026-08-27 09:01:29,強気,強気,○
2026-08-28 09:26:55,強気,強気,○
2026-08-29 09:01:20,強気,強気,○
2026-08-30 09:01:19,強気,強気,○
2026-08-31 09:31:03,強気,強気,○
2026-09-01 09:31:03,強気,強気,○
2026-09-02 09:01:15,強気,強気,○
2026-09-03 09:17:52,強気,強気,○
2026-09-04 09:31:04,強気,強気,○
2026-09-05 09:31:00,強気,強気,○
